                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.33545,                0.21214,                 0.8358,                0.90057,                0.86488,                0.90513,                0.72598,                0.67826,                0.43491,                 1.0156,               0.002872,               0.002872,               0.002872
                     74,                0.32881,                 0.2086,                0.83453,                0.87406,                0.87753,                0.90379,                0.72671,                0.68069,                0.44184,                 1.0156,               0.002773,               0.002773,               0.002773
                     75,                0.32939,                0.20598,                0.83431,                0.89448,                0.85887,                0.90416,                0.72963,                0.67662,                 0.4403,                 1.0063,               0.002674,               0.002674,               0.002674
                     76,                0.32448,                0.20533,                0.83202,                0.87334,                0.88302,                0.90291,                0.73106,                0.67596,                 0.4314,                 1.0155,               0.002575,               0.002575,               0.002575
                     77,                0.32168,                0.20344,                0.83067,                0.91332,                 0.8611,                0.90642,                0.72702,                0.67659,                0.43994,                  1.014,               0.002476,               0.002476,               0.002476
                     78,                0.32062,                 0.2022,                 0.8336,                0.87087,                0.88493,                0.90133,                0.72684,                0.67614,                0.43412,                 1.0152,               0.002377,               0.002377,               0.002377
                     79,                0.31567,                0.20066,                0.83384,                0.89894,                0.87365,                0.90556,                0.72355,                0.68234,                0.42998,                 1.0275,               0.002278,               0.002278,               0.002278
                     80,                0.31609,                0.20181,                0.83313,                0.89738,                0.88168,                0.90659,                 0.7274,                0.67624,                0.43088,                 1.0313,               0.002179,               0.002179,               0.002179
                     81,                 0.3133,                0.19983,                0.83377,                0.90506,                0.87232,                0.90316,                0.72656,                0.67834,                0.43175,                 1.0325,                0.00208,                0.00208,                0.00208
                     82,                0.30769,                0.19429,                0.83103,                0.87325,                0.88746,                0.90406,                0.72817,                0.67743,                0.44193,                 1.0234,               0.001981,               0.001981,               0.001981
                     83,                0.30432,                0.19269,                0.83117,                0.88299,                0.86503,                0.90462,                0.73297,                0.67708,                0.44858,                 1.0304,               0.001882,               0.001882,               0.001882
                     84,                0.29923,                0.19143,                  0.829,                0.90319,                0.87289,                0.90456,                0.72893,                0.67807,                0.43623,                 1.0307,               0.001783,               0.001783,               0.001783
                     85,                 0.3002,                0.19055,                0.83003,                0.87401,                0.88513,                0.90481,                0.72715,                0.67676,                0.43669,                 1.0297,               0.001684,               0.001684,               0.001684
                     86,                 0.2963,                 0.1885,                0.82977,                 0.9084,                0.85262,                0.90734,                0.72648,                0.67638,                0.44131,                 1.0321,               0.001585,               0.001585,               0.001585
                     87,                0.29451,                0.18652,                0.82718,                0.91732,                0.85912,                0.91101,                0.73383,                0.67415,                0.43084,                 1.0308,               0.001486,               0.001486,               0.001486
                     88,                0.29112,                0.18584,                0.83002,                0.89684,                0.87455,                0.90499,                0.73203,                0.67427,                0.44582,                 1.0328,               0.001387,               0.001387,               0.001387
                     89,                0.28817,                0.18326,                0.82477,                0.91257,                0.85957,                0.90817,                 0.7319,                0.67246,                0.44212,                 1.0259,               0.001288,               0.001288,               0.001288
                     90,                0.24536,                 0.1461,                0.79919,                0.92933,                0.84997,                0.90103,                0.72719,                0.67413,                0.44101,                 1.0105,               0.001189,               0.001189,               0.001189
                     91,                0.23237,                0.14184,                0.79597,                0.90045,                0.87131,                0.90523,                0.73349,                0.67435,                0.45293,                  1.008,                0.00109,                0.00109,                0.00109
                     92,                0.22704,                 0.1379,                0.79471,                0.89511,                0.87492,                0.90837,                0.73286,                0.67601,                0.44346,                 1.0261,               0.000991,               0.000991,               0.000991
                     93,                0.22223,                0.13657,                 0.7958,                0.88657,                0.88178,                0.90726,                0.73244,                0.67379,                0.44581,                 1.0216,               0.000892,               0.000892,               0.000892
                     94,                0.21792,                0.13254,                0.79368,                0.90404,                0.86769,                0.90568,                0.73036,                0.67435,                 0.4464,                 1.0116,               0.000793,               0.000793,               0.000793
                     95,                 0.2156,                0.13094,                0.79242,                0.90044,                0.86471,                0.90304,                0.72853,                0.67402,                0.45212,                 1.0241,               0.000694,               0.000694,               0.000694
                     96,                0.21233,                0.13082,                0.79259,                0.88242,                0.87755,                0.90305,                0.72789,                0.67257,                0.44903,                 1.0212,               0.000595,               0.000595,               0.000595
                     97,                0.20427,                0.12691,                0.78892,                0.88194,                0.89017,                0.90452,                0.72869,                0.67277,                0.44888,                  1.022,               0.000496,               0.000496,               0.000496
                     98,                0.20353,                0.12597,                 0.7911,                0.89083,                0.87813,                0.90452,                 0.7302,                0.67183,                0.45398,                 1.0103,               0.000397,               0.000397,               0.000397
                     99,                0.20129,                 0.1252,                0.79294,                0.88327,                0.88401,                0.90431,                0.73113,                0.67166,                0.45333,                 1.0094,               0.000298,               0.000298,               0.000298
